mode,benchmark,dl1_bytes,ul2_bytes,sb_lookups,ul2_demand,sb_hit_rate
victim_stream,test-fmath,2048,2097152,702,3807.0,0.5299
victim_stream,test-llong,2048,2097152,522,2078.0,0.6782
victim_stream,test-lswlr,2048,2097152,477,1659.0,0.7358
victim_stream,test-math,2048,2097152,1803,12954.0,0.2568
victim_stream,test-fmath,2048,2097152,726,3959.0,0.5193
victim_stream,test-llong,2048,2097152,524,2086.0,0.6775
victim_stream,test-lswlr,2048,2097152,478,1659.0,0.7364
victim_stream,test-math,2048,2097152,1937,13682.0,0.2612
miss_stream,test-fmath,512,4194304,1295,5344.0,0.3012
miss_stream,test-llong,512,4194304,602,1922.0,0.5515
miss_stream,test-lswlr,512,4194304,482,1439.0,0.6266
miss_stream,test-math,512,4194304,4255,19527.0,0.1711
miss_stream,test-fmath,512,4194304,1295,5344.0,0.3012
miss_stream,test-llong,512,4194304,602,1922.0,0.5515
miss_stream,test-lswlr,512,4194304,482,1439.0,0.6266
miss_stream,test-math,512,4194304,4255,19527.0,0.1711
victim_stream,test-fmath,8192,4194304,542,1816.0,0.559
victim_stream,test-llong,8192,4194304,476,1207.0,0.6345
victim_stream,test-lswlr,8192,4194304,461,1085.0,0.6529
victim_stream,test-math,8192,4194304,735,2923.0,0.4558
victim_stream,test-fmath,8192,4194304,542,1816.0,0.559
victim_stream,test-llong,8192,4194304,476,1207.0,0.6345
victim_stream,test-lswlr,8192,4194304,461,1085.0,0.6529
victim_stream,test-math,8192,4194304,735,2923.0,0.4558
victim_stream,test-fmath,8192,4194304,542,2364.0,0.6531
victim_stream,test-llong,8192,4194304,476,1511.0,0.7374
